Time in Milliseconds, Duration from start, Key
1589141096108,88978,y
1589141096160,89030, 
1589141096304,89174,c
1589141096372,89242,o
1589141096453,89323,n
1589141096615,89485,e
1589141096706,89576,r
1589141096850,89720,n
1589141097312,90182,Backspace
1589141097452,90322,Backspace
1589141097620,90490,Backspace
1589141097712,90582,c
1589141097871,90741,e
1589141098017,90887,n
1589141098125,90995,r
1589141098227,91097, 
1589141098353,91223,t
1589141098416,91286,h
1589141098674,91544,o
1589141098735,91605,u
1589141098850,91720,r
1589141099159,92029,Backspace
1589141099283,92153,Backspace
1589141099399,92269,r
1589141099478,92348,o
1589141099541,92411,u
1589141099639,92509,g
1589141099721,92591,h
1589141099864,92734,o
1589141099916,92786,u
1589141100113,92983,t
1589141100231,93101, 
1589141100556,93426,t
1589141100629,93499,h
1589141100718,93588,e
1589141100834,93704, 
1589141100914,93784,s
1589141100998,93868,e
1589141101082,93952,r
1589141101212,94082,i
1589141101305,94175,e
1589141101370,94240,s
1589141101661,94531,.
1589141101718,94588, 
1589141102013,94883,S
1589141102099,94969,CapsLock
1589141102224,95094,i
1589141102379,95249,n
1589141102443,95313,c
1589141102529,95399,e
1589141102569,95439, 
1589141102680,95550,t
1589141102712,95582,h
1589141102829,95699,e
1589141102923,95793, 
1589141103014,95884,r
1589141103111,95981,e
1589141103360,96230,l
1589141103613,96483,a
1589141103708,96578,s
1589141103764,96634,e
1589141103845,96715, 
1589141103964,96834,o
1589141104030,96900,f
1589141104131,97001, 
1589141104211,97081,t
1589141104275,97145,h
1589141104379,97249,e
1589141104470,97340, 
1589141104547,97417,f
1589141104648,97518,i
1589141104714,97584,r
1589141104849,97719,s
1589141104909,97779,t
1589141104989,97859, 
1589141105148,98018,n
1589141105209,98079,o
1589141105221,98091,v
1589141105388,98258,e
1589141105457,98327,l
1589141105652,98522,comma
1589141105692,98562, 
1589141105845,98715,h
1589141105941,98811,a
1589141105981,98851,r
1589141106164,99034,r
1589141106291,99161,y
1589141106372,99242, 
1589141106497,99367,p
1589141106676,99546,o
1589141106712,99582,t
1589141106848,99718,t
1589141107003,99873,e
1589141107061,99931,r
1589141107130,100000, 
1589141107220,100090,a
1589141107311,100181,n
1589141107368,100238,d
1589141107471,100341, 
1589141107516,100386,t
1589141107588,100458,h
1589141107688,100558,e
1589141107803,100673, 
1589141107957,100827,p
1589141108319,101189,h
1589141108466,101336,i
1589141108575,101445,l
1589141108752,101622,o
1589141108828,101698,s
1589141109349,102219,o
1589141109513,102383,p
1589141109661,102531,h
1589141109746,102616,e
1589141109798,102668,r
1589141109900,102770,'
1589141110004,102874,s
1589141110107,102977, 
1589141110168,103038,s
1589141110304,103174,t
1589141110404,103274,o
1589141110512,103382,n
1589141110581,103451,e
1589141110738,103608, 
1589141111359,104229,i
1589141111491,104361,s
1589141111630,104500, 
1589141111753,104623,t
1589141111844,104714,h
1589141111957,104827,e
1589141112049,104919, 
1589141112123,104993,f
1589141112255,105125,i
1589141112287,105157,r
1589141112441,105311,s
1589141112506,105376,t
1589141112586,105456, 
1589141112747,105617,b
1589141112907,105777,o
1589141113062,105932,o
1589141113217,106087,k
1589141113401,106271,.
1589141113454,106324, 
1589141113585,106455,t
1589141113644,106514,h
1589141113853,106723, 
1589141113986,106856,e
1589141114557,107427, 
1589141114704,107574,b
1589141114865,107735,o
1589141115015,107885,o
1589141115155,108025,k
1589141115258,108128,s
1589141115331,108201, 
1589141115476,108346,h
1589141115607,108477,a
1589141115667,108537,v
1589141115822,108692,e
1589141115847,108717, 
1589141116099,108969,f
1589141116168,109038,o
1589141116209,109079,u
1589141116379,109249,n
1589141116468,109338,d
1589141116559,109429, 
1589141116604,109474,i
1589141116733,109603,m
1589141116906,109776,m
1589141116980,109850,e
1589141117107,109977,n
1589141117260,110130,s
1589141117352,110222,e
1589141117456,110326, 
1589141117736,110606,p
1589141117883,110753,o
1589141118043,110913,p
1589141118119,110989,u
1589141118270,111140,l
1589141118347,111217,a
1589141118431,111301,r
1589141118479,111349,i
1589141118652,111522,t
1589141118686,111556,y
1589141118929,111799,comma
1589141119005,111875, 
1589141119098,111968,c
1589141119338,112208,r
1589141119460,112330,i
1589141119569,112439,t
1589141119699,112569,i
1589141119777,112647,c
1589141119934,112804,a
1589141119994,112864,l
1589141120028,112898, 
1589141120199,113069,a
1589141120246,113116,c
1589141120414,113284,c
1589141120512,113382,l
1589141120684,113554,a
1589141120708,113578,i
1589141120897,113767,m
1589141120959,113829, 
1589141121035,113905,a
1589141121123,113993,n
1589141121220,114090,d
1589141121300,114170, 
1589141121404,114274,c
1589141121468,114338,o
1589141121608,114478,m
1589141121803,114673,m
1589141121871,114741,e
1589141121937,114807,r
1589141122147,115017,c
1589141122207,115077,i
1589141122384,115254,a
1589141122463,115333,l
1589141122539,115409, 
1589141122652,115522,s
1589141122740,115610,u
1589141122870,115740,c
1589141123072,115942,c
1589141123176,116046,e
1589141123224,116094,s
1589141123371,116241,s
1589141123469,116339, 
1589141123559,116429,w
1589141123679,116549,o
1589141123745,116615,r
1589141123916,116786,l
1589141123996,116866,d
1589141124238,117108,w
1589141124384,117254,i
1589141124526,117396,d
1589141124694,117564,e
1589141124846,117716,.
